price,year,manufacturer,model,odometer,type,paint_color,state,lat,long
30000,1963,chevrolet,nova ss,12345,,,al,34.9804,-86.8346
12500,1979,,mg midget,41000,,,al,34.9804,-86.8346
15900,2013,lexus,es 350,81000,sedan,white,al,34.708978,-86.586316
27800,2018,honda,odyssey touring elite,32800,,brown,al,34.324575,-86.30224
20995,2011,chevrolet,silverado 1500 ltz crew cab 4wd,137701,pickup,,al,33.971956,-86.053098
25995,2015,chevrolet,silverado 1500 lt crew cab 4wd,151681,pickup,,al,33.971956,-86.053098
31995,2014,chevrolet,silverado 1500 2lt crew cab long box 4wd,66738,pickup,,al,33.971956,-86.053098
7800,1999,toyota,tacoma,242068,truck,green,al,34.712796,-86.574647
10554,2015,hyundai,sonata 1.6t eco,83874,,,al,34.735061,-86.624715
11869,2008,bmw,3 series 335i,82516,,,al,34.735061,-86.624715
6900,2006,pontiac,solstice,106000,convertible,blue,al,34.7782,-86.7442
6500,2007,subaru,forrester,148980,hatchback,black,al,34.7448,-86.6704
15990,2016,chevrolet,cruze limited ltz,46252,sedan,black,al,34.57,-86.98
24989,2006,,HUMMER H2,124175,SUV,,al,36.138037,-86.731163
6999,2012,honda,civic,120800,sedan,brown,al,34.734,-86.5229
16500,2013,cadillac,xts platinum,53857,,white,al,34.5494,-86.3961
4300,2004,honda,accord,180000,sedan,silver,al,34.928276,-86.986141
36990,2018,gmc,sierra 1500 double cab sle,23424,pickup,black,al,34.57,-86.98
10977,2011,audi,q5,110574,SUV,grey,al,36.138037,-86.731163
23900,2015,ram,1500,107670,pickup,silver,al,35.59352,-87.05396
6000,2013,ford,transit connect,170000,,white,al,34.6679,-86.5603
18400,2012,ford,f-150,159936,pickup,white,al,35.59352,-87.05396
5500,2007,honda,accord se,155000,sedan,white,al,34.5968,-86.5217
23699,2012,chevrolet,silverado,102212,pickup,red,al,35.59352,-87.05396
2900,2003,,YAMAHA XVS650/A/C/AC/AT/ATC/V ST,36737,other,black,al,35.59352,-87.05396
0,2017,ram,pickup 2500,129488,truck,silver,al,,
6900,2015,honda,cbr650,16402,other,red,al,35.59352,-87.05396
0,2015,mercedes-benz,s-class,78807,sedan,grey,al,,
14900,2007,toyota,tacoma double cab sr5,163211,truck,blue,al,34.6215,-86.4644
16495,2008,ford,f-150 supercrew limited,154069,truck,white,al,34.779434,-86.921296
8300,2013,dodge,avenger r/t,67500,sedan,white,ak,61.574681,-149.384766
6900,1999,ford,ranger,999999,,,ak,61.20779,-149.870832
3500,1997,mercury,mountaineer,999999,,white,ak,61.20779,-149.870832
8300,2013,dodge,avenger,67500,sedan,white,ak,61.5923,-149.3959
22500,2012,toyota,4runner,100710,,,ak,61.2037,-149.7447
26995,2009,chevrolet,silverado,128701,other,white,ak,61.16167,-149.86312
31999,2019,ford,ranger xlt,32933,truck,silver,ak,61.166353,-149.847206
37999,2014,ram,2500 slt 6.7 diesel,79881,truck,white,ak,61.166353,-149.847206
29999,2015,ram,1500 slt,66366,truck,silver,ak,61.166353,-149.847206
25999,2016,subaru,wrx,105055,sedan,blue,ak,61.166353,-149.847206
13999,2017,volkswagen,jetta 1.4t s,40312,sedan,grey,ak,61.166353,-149.847206
26999,2008,,Hummer H2 SUT Luxury,117981,SUV,blue,ak,61.166353,-149.847206
27999,2013,lexus,gs 350 awd,63629,sedan,silver,ak,61.166353,-149.847206
24995,2013,ford,f-250,101462,pickup,red,ak,61.16167,-149.86312
32999,2014,jeep,grand cherokee srt8,102000,SUV,grey,ak,61.166353,-149.847206
18999,2015,mini,countryman cooper s,66566,hatchback,brown,ak,61.166353,-149.847206
39995,2015,ram,2500,115148,pickup,brown,ak,61.16167,-149.86312
44999,2015,rover,,62052,SUV,white,ak,61.166353,-149.847206
2800,1988,chevrolet,rally,999999,,,ak,61.2116,-149.8761
11999,2008,ford,escape limited,101550,SUV,red,ak,61.166353,-149.847206
16991,2018,kia,rio,19010,sedan,white,ak,61.180231,-149.869503
29995,2017,jeep,grand cherokee,52880,SUV,white,ak,61.16167,-149.86312
11000,2017,ford,fiesta se,53000,hatchback,grey,ak,59.8666,-158.5996
10999,2003,toyota,4 runner sr5,291341,SUV,black,ak,61.166353,-149.847206
25999,2017,ford,mustang premium,66022,convertible,red,ak,61.166353,-149.847206
26995,2016,ford,f-150,100825,pickup,,ak,61.16167,-149.86312
8200,1970,,Opel GT,37160,other,yellow,ak,61.54621,-149.498391
25995,2019,jeep,compass,23990,SUV,white,ak,61.16167,-149.86312
25995,2019,gmc,terrain,27173,SUV,black,ak,61.16167,-149.86312
20991,2011,gmc,yukon,135636,SUV,black,ak,61.180231,-149.869503
14194,2017,chevrolet,sonic,11318,sedan,red,ak,61.176984,-149.86941
119999,2000,,AM General Hummer H1,56322,SUV,,az,33.454195,-111.926096
6800,2006,toyota,prius hybrid,175000,,,az,33.5761,-112.2344
44952,2016,chevrolet,silverado 1500 lt crew,28852,other,,az,33.3887,-111.8428
27995,2014,ram,3500,257508,pickup,,az,33.327848,-111.841594
22600,2015,audi,q7 3.0t premium plus,70685,other,black,az,33.569105,-112.06387
27000,2012,ford,mustang,9000,,,az,33.1911,-111.528
9500,2014,nissan,nv200 cargo van,123000,,,az,33.3301,-111.8632
31990,2018,subaru,wrx sti sedan 4d,46183,sedan,blue,az,33.44,-112.08
18990,2017,toyota,prius two hatchback 4d,57500,hatchback,silver,az,33.44,-111.8
500,2012,fiat,500,100000,other,custom,az,33.3851,-111.8724
31995,2017,ford,f-150,62705,,,az,33.327848,-111.841594
4600,2002,volkswagen,,167000,truck,blue,az,33.6048,-112.2237
5200,2006,ford,f-250,328000,,,az,33.29427,-111.967635
22995,2015,ram,1500,137425,pickup,silver,az,33.458277,-111.92597
